basinid,c0R,Wpct,c0frnrprecp,c0annprecp,c0GDPmer,c0GDPppp,c0PopDen,c0PUrbDen,c0PConDen,c0ENsewhum,c0TNfrem,c0TNsewhum,c0EPsewhum,c0EPsewdet,c0TPfrem,c0TPsewhum,c0TPsewdet,c0TNdpna
1418,282.424591064,0.0185589678586,3.03933405876,716.545166016,3047.59790039,5730.49511719,28.1897983551,0.0,0.0,0.0,6.79999446869,0.0,0.0,0.0,8.29999542236,0.0,0.0,235.514068604
1419,117.698249817,8.67622089386,1.91525924206,482.21282959,3047.59399414,5730.49951172,33.8106269836,0.0,0.0,0.0,6.80000257492,0.0,0.0,0.0,8.30000209808,0.0,0.0,421.403045654
1420,21.1550979614,0.0,1.36169207096,415.977722168,17411.234375,18313.9394531,33.6182785034,0.0,0.0,0.0,39.7000045776,0.0,0.0,0.0,48.5999679565,0.0,0.0,232.000167847
1421,44.3213195801,0.0,0.713754236698,185.258285522,22980.9433594,25456.0507813,0.0,0.0,0.0,0.0,47.1000099182,0.0,0.0,0.0,54.799987793,0.0,0.0,30.3512573242
1422,107.091033936,0.0,2.0590467453,702.159912109,23509.9023438,24048.0371094,143.764358521,143.764358521,143.764358521,878.715087891,28.1000156403,631.796020508,146.394729614,47.486076355,34.3000450134,96.1812744141,31.1983318329,0.0
1423,249.0519104,0.250560700893,2.67656207085,641.74041748,3047.6015625,5730.49804688,21.545759201,0.0,0.0,0.0,6.79999732971,0.0,0.0,0.0,8.30000400543,0.0,0.0,490.430755615
1424,237.562545776,0.0,1.33879852295,411.261291504,22980.9375,25456.0546875,0.0,0.0,0.0,0.0,47.0999679565,0.0,0.0,0.0,54.7999839783,0.0,0.0,52.9999732971
1425,739.059631348,2.01396632195,2.7659060955,977.798034668,2944.09350586,6643.59765625,23.1040534973,22.933216095,22.933216095,106.72038269,21.1999397278,83.4738998413,17.7786846161,3.94340157509,25.900056839,13.0765838623,2.90045189857,90.9999694824
1426,62.4308319092,0.0,0.681352078915,192.620956421,22981.0546875,25456.0449219,0.0,0.0,0.0,0.0,47.1000404358,0.0,0.0,0.0,54.8000526428,0.0,0.0,33.5758476257
1427,130.351669312,64.8108596802,1.34885752201,386.516967773,31730.53125,31337.9335938,0.0199353396893,0.0,0.0,0.0,52.5000343323,0.0,0.0,0.0,61.2000198364,0.0,0.0,40.7974662781
1428,48.9798736572,0.0,0.800487399101,251.090835571,2944.10620117,6643.59814453,0.0,0.0,0.0,0.0,21.2000656128,0.0,0.0,0.0,25.899980545,0.0,0.0,36.6391334534
1429,398.644165039,0.0183933433145,3.00512003899,1001.54974365,23509.8789063,24047.9785156,3.91418504715,3.81351470947,3.81351470947,23.9532833099,28.1000556946,16.7794475555,3.98901987076,1.29518842697,34.3000335693,2.55338001251,0.829052805901,364.811096191
1430,248.43321228,0.671358168125,2.51842594147,860.089599609,23509.8789063,24047.9785156,2.94302225113,2.7752289772,2.00856113434,18.0252170563,28.1000556946,8.84505558014,3.00003123283,0.986312508583,34.3000335693,1.34518635273,0.442253440619,338.804473877
1431,61.298625946,0.0,1.87517571449,651.82623291,23509.8789063,24047.9785156,34.6798858643,34.6798858643,34.6798858643,211.863922119,28.1000556946,152.330047607,35.2988471985,11.4706554413,34.3000335693,23.1913318634,7.53621721268,119.468727112
1432,73.1910095215,0.102081865072,1.9650080204,649.801574707,23509.8671875,24047.9511719,7.78312397003,7.78312397003,5.67838096619,47.6728744507,28.1000080109,25.0075263977,7.93949747086,2.60925316811,34.3000259399,3.80564928055,1.25069653988,0.0
1433,27.1862430573,0.0,0.776397287846,164.265960693,22980.9414063,25456.0898438,0.0,0.0,0.0,0.0,47.0999832153,0.0,0.0,0.0,54.7999572754,0.0,0.0,23.1671562195
1434,473.552246094,0.0,2.68399357796,952.280639648,26421.5957031,26386.8164063,71.0645370483,49.5715255737,49.5715255737,378.134613037,20.2392253876,210.385192871,59.9421653748,19.5219268799,24.1731128693,31.705532074,10.325838089,555.647888184
1435,192.657974243,0.0279035512358,2.79101347923,701.954528809,12826.7021484,15878.8359375,13.8298425674,0.0,0.0,0.0,18.7000236511,0.0,0.0,0.0,23.1000289917,0.0,0.0,209.192276001
1436,12.710149765,1.18409013748,1.17899739742,418.858673096,6734.85791016,9767.32617188,2.5020737648,0.0,0.0,0.0,6.09461593628,0.0,0.0,0.0,6.09461593628,0.0,0.0,0.0
1437,259.252990723,0.0,3.27846980095,727.607788086,3047.60522461,5730.50683594,364.333831787,342.167053223,306.866546631,1633.09265137,6.79999732971,1281.96691895,272.153289795,62.0608787537,8.29999732971,210.200149536,47.9333000183,245.000274658
1438,1124.79382324,0.0,5.17319631577,1801.49572754,17719.2617188,18279.5839844,2.35472345352,0.0,0.0,0.0,55.2999572754,0.0,0.0,0.0,64.3999481201,0.0,0.0,87.6666107178
1439,366.784881592,2.93336629868,2.97943377495,1000.7244873,23509.8476563,24048.0605469,6.97788047791,6.7765083313,6.46693086624,42.5717391968,28.0999698639,28.3677711487,7.11705446243,2.29936528206,34.3000488281,4.33351182938,1.40006327629,129.547576904
1440,58.7935256958,0.0466131903231,2.19151496887,743.293334961,8173.79443359,11130.9990234,17.4126014709,17.4126014709,0.0,0.0,7.90000104904,0.0,0.0,0.0,7.90000104904,0.0,0.0,0.0
1441,978.643249512,0.0,4.83947896957,1632.23681641,44798.640625,23828.03125,149.102310181,0.0,0.0,0.0,42.0000572205,0.0,0.0,0.0,52.0000572205,0.0,0.0,832.964599609
1442,1054.37658691,0.0,4.67893075943,1681.15405273,17719.3125,18279.6113281,5.65738630295,3.1155397892,3.1155397892,32.5997009277,55.2999687195,8.02488708496,5.45771980286,2.56833434105,64.4000701904,1.06998538971,0.503521680832,288.999847412
1443,1032.40905762,0.0561266317964,4.05926704407,1363.60241699,39322.640625,32227.9804688,4.84864044189,2.23267579079,0.0,0.0,44.8999786377,0.0,0.0,0.0,67.2999572754,0.0,0.0,192.974975586
1444,0.118236295879,1.15740728378,0.706497788429,195.606307983,651.399475098,3223.60180664,2.39999985695,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,167.333892822
1445,294.435668945,40.0536346436,2.05208158493,598.465820313,22981.0410156,25456.09375,0.0,0.0,0.0,0.0,47.1000328064,0.0,0.0,0.0,54.8000144958,0.0,0.0,134.249954224
1446,620.99230957,2.1479177475,2.52994251251,893.922790527,2944.10644531,6643.60058594,0.256590694189,0.0,0.0,0.0,21.200056076,0.0,0.0,0.0,25.8999385834,0.0,0.0,82.7711181641
1447,150.22227478,0.0,0.648546874523,223.409729004,0.855823993683,0.855823993683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.63458252
